id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
BAR-TH-125v16-1;BAR-TH-125;BAR;Bâtiment Résidentiel;TH;Thermique;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A16-1;01/01/2015;31/03/2020;1;0;1
BAR-TH-125v32-2;BAR-TH-125;BAR;Bâtiment Résidentiel;TH;Thermique;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A32-2;01/04/2020;11/10/2020;1;0;2
BAR-TH-125v36-3;BAR-TH-125;BAR;Bâtiment Résidentiel;TH;Thermique;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A36-3;12/10/2020;31/03/2022;1;0;3
BAR-TH-125v40-4;BAR-TH-125;BAR;Bâtiment Résidentiel;TH;Thermique;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A40-4;01/04/2022;31/12/2023;1;0;4
BAR-TH-125v54-5;BAR-TH-125;BAR;Bâtiment Résidentiel;TH;Thermique;Système de ventilation double flux autoréglable ou modulé à haute performance (France métropolitaine);A54-5;01/01/2024;30/06/2028;1;0;5
BAR-TH-127v16-1;BAR-TH-127;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A16-1;01/01/2015;31/03/2020;1;0;1
BAR-TH-127v32-2;BAR-TH-127;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A32-2;01/04/2020;11/10/2020;1;0;2
BAR-TH-127v36-3;BAR-TH-127;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A36-3;12/10/2020;31/03/2022;1;0;3
BAR-TH-127v40-4;BAR-TH-127;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A40-4;01/04/2022;31/12/2023;1;0;4
BAR-TH-127v54-5;BAR-TH-127;BAR;Bâtiment Résidentiel;TH;Thermique;Ventilation mécanique simple flux hygroréglable (France métropolitaine);A54-5;01/01/2024;30/06/2028;1;0;5
BAR-TH-129v14-1;BAR-TH-129;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/air;A14-1;01/01/2015;30/06/2015;1;1;1
